Name,Age,Hometown,Occupation,Outcome,Place
Nikki Ferrell[6][7],26,"Kearney, Missouri",Pediatric Nurse,Winner,1
Clare Crawley[8],32,"Sacramento, California",Hairstylist,Runner-up,2
Andi Dorfman[9],26,"Buckhead, Georgia",Assistant District Attorney,Week 9,3 (quit)
Renee Oteri[10],32,"Martha's Vineyard, Massachusetts",Real Estate Agent,Week 8,4
Chelsie Webster[11],24,"Lexington, Ohio",Science Educator,Week 7,5
Sharleen Joynt[12][13],29,"Ottawa, Ontario[a]",Opera Singer,6 (quit),
"Katherine ""Kat"" Hurd[14]",29,"Iowa City, Iowa",Medical Sales Rep,Week 6,7
Cassandra Ferguson[15],22,"Rochester Hills, Michigan",Former NBA Dancer,8,
"Allison ""Alli"" Restko[13]",26,"Orland Park, Illinois",Nanny,Week 5,9–11
Danielle Ronco[16],25,"Litchfield, Illinois",Psychiatric Nurse,,
Kelly Travis[9][13],27,"Conyers, Georgia",Dog Lover,,
Elise Mosca[17],27,"Forty Fort, Pennsylvania",First Grade Teacher,Week 4,12–13
Lauren Solomon[18],26,"Clinton, Michigan",Music Composer,,
Christy Hansen[19],24,"Aurora, Illinois",Marketing Manager,Week 3,14–15
"Lucinda ""Lucy"" Aragon[13]",25,"Santa Barbara, California",Free Spirit,,
Amy Long[20],27,"Clermont, Florida",Local News Reporter,Week 2,16–17
Chantel Forrest[21],27,"Miami, Florida",Account Manager,,
Victoria Lima[13],24,"Porto Alegre, Brazil[b]",Legal Assistant,18,
Alexis Morgado[13][22],24,"Tampa, Florida",Communications Director,Week 1,19–27
Amy Jokinen[13],31,"Apopka, Florida",Massage Therapist,,
Ashley Poe[13],25,"Roanoke, Texas",Grade School Teacher,,
Christine Llano[13][23],23,"Miami, Florida",Police Support Specialist,,
Kylie Lewis[13][24],23,"Rockford, Illinois",Interior Designer,,
Lacy Faddoul[13][21],25,"Antelope Acres, California",Nursing Home Owner,,
Lauren Higginson[13],25,"Edmond, Oklahoma",Mineral Coordinator,,
Maggie Gantt[13][25],25,"Wagener, South Carolina",Personal Banker,,
Valerie Eredia[13][26],26,"Sutter, California",Personal Trainer,,
