name,season,hair_color,eye_color,instagram_followers,twitter_followers,ethnicity
Alex Michel,1,brown,hazel,null,null,white
Aaron Buerge,2,brown,hazel,424,null,white
Andrew Firestone,3,brown,brown,12100,189,white
Bob Guiney,4,brown,brown,145000,28200,white
Jesse Palmer,5,black,blue,272000,43700,white
Byron Velvick,6,blonde,brown,null,2907,white
Charlie O'Connell,7,brown,blue,7557,null,white
Travis Lane Stork,8,brown,blue,57000,146500,white
Lorenzo Borghese,9,black,brown,6704,null,italian
Andy Baldwin,10,brown,hazel,6073,36800,white
Brad Womack,11,brown,blue,null,null,white
Matt Grant,12,brown,blue,null,null,white
Jason Mesnick,13,black,brown,110000,75000,white
Jake Pavelka,14,brown,blue,7806,64600,white
Brad Womack,15,brown,blue,null,null,white
Ben Flajnik,16,brown,brown,31500,77400,white
Sean Lowe,17,blonde,blue,1200000,835200,white
Juan Pablo Galavis,18,brown,hazel,611000,157100,hispanic
Chris Soules,19,brown,brown,542000,184900,white
Ben Higgins,20,black,brown,1100000,350600,white
Nick Viall,21,brown,brown,1200000,284000,white
Arie Luyendyk Jr.,22,black,blue,820000,175800,white
Colton Underwood,23,brown,hazel,1800000,327600,white
Peter Weber,24,brown,brown,1300000,null,white
Matt James,25,black,brown,918000,75600,black
Clayton Echard,26,brown,hazel,298000,21700,white
Zach Shallcross,27,brown,brown,221000,null,white
Joey Graziadei,28,black,hazel,789000,null,italian
