Name,Season,Hair_Color,Eye_Color,Instagram_Followers,Twitter_Followers,Ethnicity,Gender,Winner
Alex Michel,1,brown,hazel,0,0,white,male,n/a
Amanda Marsh,1,blonde,green,1757,0,white,female,yes
Trista Rehn,1,brown,brown,396000,118400,white,female,no
Aaron Buerge,2,brown,hazel,424,0,white,male,n/a
Helene Eksterowicz,2,brown,brown,0,14,white,female,yes
Brooke Smith,2,blonde,blue,4335,2525,white,female,no
Andrew Firestone,3,brown,brown,12100,189,white,male,n/a
Jennifer Schefft,3,blonde,hazel,3646,5751,white,female,yes
Kirsten Buschbacher,3,brown,brown,254,6,white,female,no
Bob Guiney,4,brown,brown,145000,28200,white,male,n/a
Estelle Gardinier,4,black,brown,3166,213,white,female,yes
Kelly Jo Kuharski,4,brown,brown,0,0,white,female,no
Jesse Palmer,5,black,blue,272000,43700,white,male,n/a
Jessica Bowlin,5,blonde,blue,0,0,white,female,yes
Tara Huckeby,5,blonde,brown,0,0,white,female,no
Byron Velvick,6,blonde,brown,0,2907,white,male,n/a
Mary Delgado,6,black,brown,569,3963,hispanic,female,yes
Tanya Michel,6,blonde,brown,1022,129,white,female,no
Charlie O'Connell,7,brown,blue,7557,0,white,male,n/a
Sarah Brice,7,blonde,brown,3893,2481,white,female,yes
Krisily Kennedy,7,brown,brown,3861,13800,white,female,no
Travis Lane Stork,8,brown,blue,57000,146500,white,male,n/a
Sarah Stone,8,brown,brown,2044,72,white,female,yes
Moana Dixon,8,black,brown,638,124,hispanic,female,no
Lorenzo Borghese,9,black,brown,6704,0,italian,male,n/a
Jennifer Wilson,9,blonde,brown,42500,0,white,female,yes
Sadie Murray,9,blonde,brown,35100,0,white,female,no
Andy Baldwin,10,brown,hazel,6073,36800,white,male,n/a
Tessa Horst,10,black,brown,0,0,asian,female,yes
Bevin Powers,10,blonde,brown,0,0,white,female,no
Brad Womack,11,brown,blue,0,0,white,male,n/a
DeAnna Pappas,11,brown,brown,104000,55100,greek,female,no
Jenni Croft,11,brown,green,13500,3150,white,female,no
Matt Grant,12,brown,blue,0,0,white,male,n/a
Shayne Lamas,12,blonde,brown,40000,33000,white,female,yes
Chelsea Wanstrath,12,brown,hazel,1478,0,white,female,no
Jason Mesnick,13,black,brown,110000,75000,white,male,n/a
Melissa Rycroft,13,black,brown,323000,132200,hispanic,female,yes
Molly Malaney,13,brown,brown,184000,97500,white,female,no
Jake Pavelka,14,brown,blue,7806,64600,white,male,n/a
Vienna Girardi,14,brown,brown,19300,40000,italian,female,yes
Tenley Molzahn,14,brown,green,299000,95500,white,female,no
Brad Womack,15,brown,blue,0,0,white,male,n/a
Emily Maynard,15,blonde,brown,664000,297000,white,female,yes
Chantal O'Brien,15,black,brown,0,0,white,female,no
Ben Flajnik,16,brown,brown,31500,77400,white,male,n/a
Courtney Robertson,16,black,brown,48000,40400,white,female,yes
Lindzi Cox,16,blonde,brown,25000,32200,white,female,no
Sean Lowe,17,blonde,blue,1200000,835200,white,male,n/a
Catherine Giudici,17,black,brown,1300000,339100,italian,female,yes
Linsay Yenter,17,brown,brown,50300,30200,white,female,no
Juan Pablo Galavis,18,brown,hazel,611000,157100,hispanic,male,n/a
Nikki Ferrell,18,blonde,brown,303000,97800,white,female,yes
Clare Crawley,18,brown,hazel,985000,114800,white,female,no
Chris Soules,19,brown,brown,542000,184900,white,male,n/a
Whitney Bischoff,19,blonde,hazel,381000,119100,white,female,yes
Becca Tilley,19,brown,blue,1100000,205000,asian,female,no
Ben Higgins,20,black,brown,1100000,350600,white,male,n/a
Lauren Bushnell,20,blonde,hazel,1500000,166400,white,female,yes
"Joelle ""JoJo"" Fletcher",20,brown,brown,2600000,355800,white,female,no
Nick Viall,21,brown,brown,1200000,284000,white,male,n/a
Vanessa Grimaldi,21,brown,brown,675000,68000,white,female,yes
Raven Gates,21,black,brown,1200000,147800,hispanic,female,no
Arie Luyendyk Jr.,22,black,blue,820000,175800,white,male,n/a
Becca Kufrin,22,brown,blue,1200000,160600,white,female,yes
Lauren Burnham,22,blonde,brown,1200000,21000,white,female,no
Colton Underwood,23,brown,hazel,1800000,327600,white,male,n/a
Cassie Randolph,23,blonde,blue,1100000,184800,white,female,yes
Hannah Godwin,23,blonde,blue,1500000,111600,white,female,no
Peter Weber,24,brown,brown,1300000,0,white,male,n/a
Hannah Ann Sluss,24,black,hazel,1200000,30800,white,female,yes
Madison Prewett,24,black,hazel,1800000,89500,white,female,no
Matt James,25,black,brown,918000,75600,black,male,n/a
Rachael Kirkconnell,25,brown,brown,939000,0,white,female,yes
Michelle Young,25,black,brown,659000,29900,black,female,no
Clayton Echard,26,brown,hazel,298000,21700,white,male,n/a
Susie Evans,26,brown,brown,403000,21200,white,female,yes
Gabriela Windey,26,brown,brown,1000000,25600,asian,female,no
Zach Shallcross,27,brown,brown,221000,0,white,male,n/a
Kaitlyn Biggar,27,brown,brown,307000,0,white,female,yes
Gabriella Elnicki,27,black,brown,216000,0,white,female,no
Joey Graziadei,28,black,hazel,789000,0,italian,male,n/a
Kelsey Anderson,28,brown,hazel,600700,0,white,female,yes
Daisy Kent,28,blonde,hazel,814000,0,white,female,no
