Name,Age,Hometown,Job,Outcome
Jennifer Wilson,24,"Pembroke Pines, Florida",Teacher,Winner
Sadie Murray,23,"Carlsbad, California",Publicist,Week 7
Lisa Blank,25,"Portland, Oregon",Marketing manager,Week 6
Agnese Polliza,24,"Venice, Italy",Student,Week 5
Desiree Valentin,22,"Salt Lake City, Utah",Realtor,Week 4
Jeanette Pawula,23,"Bloomingdale, Illinois",Teacher,Week 4
Erica Rose,23,"Houston, Texas",Attorney,Week 3
Gina Clark,28,"Dallas, Texas",Ultrasound technician,Week 3
Jami Matzke,27,"Galveston, Texas",Event planner,Week 3
Ellen DeMaio,30,"New Haven, Connecticut",Realtor,Week 2
Kimberly Jackson,27,"Newport Beach, California",Interior designer,Week 2
Sarah Schnare,30,"Nelson, British Columbia",Journalist,Week 2
April Jacobs,23,"Hyde Park, Chicago, Illinois",Model,Week 1
Andrea Shirley,28,"Cincinnati, Ohio",Hotel concierge,Week 1
Britt Keeder,28,"Columbus, Ohio",Beer chemist,Week 1
Carissa Ilburg,25,"Cattaraugus, New York",Attorney,Week 1
Claudia Gismondi,22,"Boca Raton, Florida",Restaurateur,Week 1
Cosetta Blanca,,Italy,Dancer,Week 1
Elyse Hammer,27,"Meadow Vista, California",Physician,Week 1
Heather Sneed,34,"Aliquippa, Pennsylvania",Registered nurse,Week 1
Jessica Horner,25,"Charlotte, North Carolina",Assistant buyer,Week 1
Laura Morgan,29,"Spring Valley, California",Dolphin trainer,Week 1
Meryl Barr,27,"Biloxi, Mississippi",Attorney,Week 1
Renée Snell,30,"Baltimore, Maryland",Broadcast marketer,Week 1
Rita Ghazal,29,"Richmond, Virginia",Policy advisor,Week 1
Rosella Fratto,27,"Homer Glen, Illinois",Make-up artist,Week 1
Tara Durr,24,"St. Augustine, Florida",Realtor,Week 1
