season,name,age,hometown,job,outcome
01,Amanda Marsh,23,Midwest,Event Planner,winner
01,Trista Rehn,29,Midwest,Miami Heat Dancer,runnerUp
01,Shannon Oliver,24,South,Financial Management Consultant,5
01,Kimberly Karels,24,West,Nanny,4
01,Cathy Grimes,22,Midwest,Graduate Student,3
01,Christina Stencil,28,West,Attorney,3
01,LaNease Adams,23,West,Actress,3
01,Rhonda Rittenhouse,28,South,Commercial Real Estate Agent,3
01,Alexa Jurgielewicz,27,West,Special Ed. Teacher,2
01,Amy Anzel,28,Northeast,Production Coordinator,2
01,Angela Lowery,25,West,Hooters Waitress,2
01,Angelique Madrid,27,West,Actress,2
01,Katie Sapienza,23,Northeast,Power Tool Sales Rep.,2
01,Melissa Reese,25,West,Photographer,2
01,Tina Chen,27,South,Graduate Student,2
01,Amber Johnson,29,West,Business Development Director,1
01,Daniela Ferdico,30,West,Neuropsychologist,1
01,Denise Kellaher,30,West,Doctor,1
01,Jackie Hucko,22,Northeast,Bar Manager,1
01,Jill Gosser,31,Midwest,Retail Manager,1
01,Kristina Jenkins,27,Northeast,Advertising Executive,1
01,Lisa Gold,29,South,Attorney,1
01,Paula Oliveira,24,Northeast,Insurance Representative,1
01,Rachel Lanzilotto,29,Northeast,6th Grade Teacher,1
01,Wendi Plotnik,26,South,Technology Specialist,1
02,Helene Eksterowicz,27,Northeast,School Psychologist,winner
02,Brooke Smith,22,South,College Student,runnerUp
02,Gwen Gioia,31,Northeast,Executive Recruiter,6
02,Angela Vaught,27,Midwest,Registered Nurse,5
02,Hayley Crittenden,28,West,Retail Manager,4
02,Heather Cranford,30,South,Flight Attendant,4
02,Christi Weible,23,West,Assistant Financial Advisor,3
02,Heather Campion,24,West,Marriage Therapy Trainee,3
02,Kyla Dickerson,22,West,Airline Supervisor,3
02,Shannon Fries,26,Northeast,Graphic Artist,3
02,Dana Norris,24,West,Radio Sales,2
02,Erin Lulevitch,25,Northeast,Publications Quality Control,2
02,Suzanne Freeman,33,West,Flight Attendant,2
02,Frances Dinglasan,30,West,Strategic Planning Analyst,2
02,Anindita Dutta,27,Northeast,Attorney,2
02,Amber West,26,South,Psychologist,1
02,Camille Langfield,29,West,Actress,1
02,Cari,29,Midwest,3rd Grade Teacher,1
02,Christy,24,West,Radiological Technologist,1
02,Erin A.,24,South,Interior Designer,1
02,Fatima Rivas,22,West,College Student,1
02,Liangy Fernandez,30,South,Paralegal,1
02,Lori Todd,26,South,Former NBA Cheerleader,1
02,Merrilee Donohue,28,Northeast,1st Grade Teacher,1
02,Suzi Reid,28,South,Communications Specialist,1
05,Jessica Bowlin,22,West,Student,winner
05,Tara Huckeby,23,South,General Contractor,7
05,Mandy Jaye Jeffreys,26,South,Architect Designer,6
05,Trish Schneider,28,South,Model,5
05,Karen Lindsay,28,West,Pharmaceutical Salesperson,4
05,Suzie Williams,23,Midwest,Prosthetic Technician,4
05,Jenny De Schiralli,26,South,Swim Instructor,3
05,Jessica Holcomb,25,South,Attorney,3
05,Julie Durda,24,West,Professional Cheerleader,3
05,Katie Gehart,22,West,LASIK Eye & Skin Center Manager,3
05,Amber LaRoux,27,West,Consultant,2
05,Anne-Catherine Labbé,27,Foreign,Model,2
05,Celeste Creel,24,Northeast,Executive Assistant,2
05,Debbie Merkett,27,South,Massage Therapist,2
05,Jean-Marie Callahan,26,South,Hairstylist,2
05,Jenny Matthews,24,Midwest,Retail Manager,2
05,Kristy Romero,25,Midwest,Student,2
05,Mandy Clemens,25,West,Professional Soccer Player,2
05,DeShaun Warner,25,Northeast,Account Manager,1
05,Dolores Farburg,26,Northeast,Account Manager,1
05,Francine Jones,25,South,Retail Manager,1
05,Holly Reeder,26,South,Bank Representative,1
05,Jessica Kyron,21,Midwest,Student,1
05,Kristin Clearwater,25,West,Singer,1
05,Rachel Clementi,26,Northeast,Fashion PR Manager,1
09,Jennifer Wilson,24,South,Teacher,winner
09,Sadie Murray,23,West,Publicist,7
09,Lisa Blank,25,West,Marketing manager,6
09,Agnese Polliza,24,Foreign,Student,5
09,Desiree Valentin,22,West,Realtor,4
09,Jeanette Pawula,23,Midwest,Teacher,4
09,Erica Rose,23,South,Attorney,3
09,Gina Clark,28,South,Ultrasound technician,3
09,Jami Matzke,27,South,Event planner,3
09,Ellen DeMaio,30,Northeast,Realtor,2
09,Kimberly Jackson,27,West,Interior designer,2
09,Sarah Schnare,30,Foreign,Journalist,2
09,April Jacobs,23,Midwest,Model,1
09,Andrea Shirley,28,Midwest,Hotel concierge,1
09,Britt Keeder,28,Midwest,Beer chemist,1
09,Carissa Ilburg,25,Northeast,Attorney,1
09,Claudia Gismondi,22,South,Restaurateur,1
09,Cosetta Blanca,,Foreign,Dancer,1
09,Elyse Hammer,27,West,Physician,1
09,Heather Sneed,34,Northeast,Registered nurse,1
09,Jessica Horner,25,South,Assistant buyer,1
09,Laura Morgan,29,West,Dolphin trainer,1
09,Meryl Barr,27,South,Attorney,1
09,Renée Snell,30,South,Broadcast marketer,1
09,Rita Ghazal,29,South,Policy advisor,1
09,Rosella Fratto,27,Midwest,Make-up artist,1
09,Tara Durr,24,South,Realtor,1
10,Tessa Horst,26,West,Social Worker,winner
10,Bevin Nicole Powers,28,West,Assistant,8
10,Danielle Imwalle,25,Northeast,Graphic Designer,7
10,Amber Alchalabi,23,South,Teacher,6
10,Stephanie Wilhite,23,Midwest,Project Manager,5
10,Tina Wu,26,Northeast,Medical student,5
10,Kate Brockhouse,24,South,Boutique owner,4
10,Nicole Clary,26,South,Sales Manager,4
10,Stephanie Tipper,27,South,Organ donor coordinator,4
10,Amanda Hackney,26,South,Financial analyst,3
10,Erin Parker,24,South,Financial analyst,3
10,Peyton Wright,24,South,Sorority recruiter,3
10,Alexis Young,26,South,Attorney,2
10,Susan Anderson,23,South,Boutique manager,2
10,Tiffany Warren,28,Northeast,Medical equipment sales rep,2
10,Blakeney Rowe,29,South,Radio sales,1
10,Candice DeCost,23,South,Waitress,1
10,Catherine Warren,23,Midwest,Former Miss Illinois,1
10,Danielle Vallis,26,Northeast,Attorney,1
10,Jacqueline Topelli,23,Midwest,Executive coordinator,1
10,Jeanette Alvarez,27,South,Health care manager,1
10,Jessica Devallo,32,Northeast,Hedge fund analyst,1
10,Linda Malek,33,Midwest,Attorney,1
10,Lindsay Smith,22,Midwest,Student,1
10,Tiffany Forester,27,Midwest,Real estate sales/development,1
11,DeAnna Pappas,25,South,Realtor,runnerUp
11,Jenni Croft,27,Midwest,Phoenix Suns Cheerleader,runnerUp
11,Bettina Bell,27,Foreign,Realtor,7
11,Sheena Stewart,23,West,Internet marketing executive,6
11,Hillary Reisinger,27,Northeast,Registered nurse,5
11,Kristy Katzmann,29,Midwest,Acupuncturist,5
11,McCarten Delaney,26,West,Account manager,4
11,Estefania Leon,26,South,Executive assistant,4
11,Jade Beazley,24,South,Boutique sales worker,4
11,Lindsey Hawkins,25,Midwest,Model,3
11,Sarah Newlon,23,Midwest,Bar manager,3
11,Solisa Shoop,25,South,Esthetician,3
11,Erin Gardner,25,South,Publishing sales executive,2
11,Mallory Simons,24,West,Nanny,2
11,Michele Leavy,30,Northeast,Realtor,2
11,Jessica Kiss,27,South,News anchor,1
11,Julia Gilliam,24,Midwest,Law student,1
11,Kimberly Orville,31,Northeast,Realtor,1
11,Lori Langley,33,South,Biology teacher,1
11,Melissa Buschel,28,Northeast,Event planner,1
11,Morgan Becker,24,West,Graduate student,1
11,Natalie Velasco,25,South,Law student,1
11,Regina Doringa,31,West,Account representative,1
11,Tauni Nessler ,31,Midwest,Emergency room nurse,1
11,Susan Coolidge,35,Midwest,Project analyst,1
12,Shayne Lamas,22,West,Actress,winner
12,Chelsea Wanstrath,25,West,Pharmaceutical sales rep.,runnerUp
12,Amanda Rantuccio,27,South,Account Executive,7
12,Noelle Drake,26,West,Photographer,6
12,Marshana Ritchie,27,Northeast,Fashion designer,5
12,Robin Canfield,22,Midwest,Advertising coordinator,5
12,Ashlee Williss,22,South,Singer-songwriter,4
12,Kelly Hark,25,West,Medical sales representative,4
12,Holly Durst,24,Midwest,Children's book author,4
12,Amy Bean,22,West,Nanny,3
12,Erin Storm,33,West,Vendor,3
12,Kristine Heffelfinger,33,Northeast,Personal trainer,3
12,Caroline Carri Perrier,25,South,Church marketing rep.,2
12,Erin Harper,25,West,Event planner,2
12,Michelle Procopio,28,Northeast,Administrative assistant,2
12,Alyssa Johnson,24,West,Biology student,1
